IRREGULARIDADES
CAIXA DE SOM/AUTOFALANTE
CAMERA DE MONITORAMENTO
RESERVA TÉCNICA IRREGULAR
REDE DE TELECOMUNICAÇÕES ACIMA DA REDE DE BT
REDE DE TELECOMUNICAÇÕES ACIMA DA REDE DE MT
REDE DE TELECOMUNICAÇÕES NA ALTURA DA REDE DE BT
REDE DE TELECOMUNICAÇÕES NA ALTURA DA REDE DE MT
CABO PARTIDO
VÃO COM ALTURA INFERIOR A 2.5M
IDENTIFICAÇÃO DO CABO DIVERGE DA DO EQUIPAMENTO
CAIXA NÃO NORMATIZADA
REDE STP/UTP
OUTRA
