EQUIPAMENTO
CAIXA PARA TERMINAÇÃO ÓPTICA - CTO/NAP
CAIXA TERMINAL PARA POSTE E FACHADA - TPF
CAIXA DE EMENDA
GABINETE METÁLICO 
ANTENA
OUTRA
